exhibition_id,canonical_name,arabic_name,aliases,organizer,venue,city,country,current_edition_year,start_date,end_date,event_type,sector,has_exhibition_floor,lifecycle_status,pipeline_tier,exhibition_floor_evidence,official_url,organizer_url,current_directory_url,exhibitor_page_url,exhibit_registration_url,sponsor_page_url,partner_page_url,catalogue_url,event_app_url,floor_plan_url,stated_exhibitor_count,priority,verification_status,confidence,last_verified_at,notes
riyadh-2026-leap,LEAP 2026,ليب,One Giant LEAP,Tahaluf,"Riyadh Exhibition and Convention Center, Malham",Riyadh,Saudi Arabia,2026,2026-08-31,2026-09-03,trade_show,technology_ai,yes,upcoming_confirmed,primary_b2b,Official current exhibitor page exists for 2026.,https://onegiantleap.com/,https://tahaluf.com/,https://onegiantleap.com/exhibit/our-2026-exhibitors,https://onegiantleap.com/exhibit/our-2026-exhibitors,https://onegiantleap.com/exhibit/2026-event-exhibitor,,,,,,,A+,verified_primary,high,2026-07-18,Upcoming sales-pipeline target; current 2026 exhibitor directory located.
riyadh-2026-cityscape-global,Cityscape Global 2026,سيتي سكيب العالمي,Cityscape Global Saudi,Tahaluf / Informa Markets,"Riyadh Exhibition and Convention Centre, Malham",Riyadh,Saudi Arabia,2026,2026-11-16,2026-11-19,trade_show,real_estate,yes,upcoming_confirmed,primary_b2b,Official 2026 site and Eye of Riyadh specific page state Riyadh dates and 460+ exhibitors/industry zones.,https://cityscapeglobal.com/,https://tahaluf.com/,,,https://cityscapeglobal.com/stand-enquiry,,,,,,460+ exhibitors; 2025 highlights list 577 exhibitors,A+,verified_cross_source,high,2026-07-18,No open 2026 exhibitor directory found; high-priority real-estate pipeline target.
riyadh-2026-global-health,Global Health Exhibition 2026,المعرض الصحي العالمي,Global Health Saudi,Informa Markets,"Riyadh Exhibition and Convention Center, Malham",Riyadh,Saudi Arabia,2026,2026-10-26,2026-10-29,trade_show,healthcare,yes,upcoming_confirmed,primary_b2b,Official event site states 2026 Riyadh dates and exhibitor/brand scale.,https://www.globalhealthsaudi.com/,https://www.informa.com/,,,https://www.globalhealthsaudi.com/exhibit/,,,,,,2200+ exhibiting brands,A+,verified_primary,high,2026-07-18,Global Health exhibitor-list page treated as 2025 historical unless it demonstrably lists 2026 exhibitors.
riyadh-2026-saudi-build,Saudi Build 2026,البناء السعودي,Saudi Build,Riyadh Exhibitions Company Ltd.,Riyadh International Convention & Exhibition Center,Riyadh,Saudi Arabia,2026,2026-11-02,2026-11-05,trade_show,construction,yes,upcoming_confirmed,primary_b2b,Official and Eye of Riyadh specific pages describe building/construction exhibition and 600+ exhibitors.,https://saudi-build.com/,https://www.recexpo.com/,https://saudi-build.com/exhibitors-list/,https://saudi-build.com/exhibitors-list/,https://saudi-build.com/,,,,,,600+ exhibitors,A,verified_primary,high,2026-07-20,Official 2026 current exhibitor list located; extract in the parallel current-directory lane.
riyadh-2026-big5-construct-saudi,Big 5 Construct Saudi 2026,بيج 5 كونستركت السعودية,Big 5 Construct Saudi,dmg events,Riyadh Front Exhibition & Conference Center located at ROSHN Front,Riyadh,Saudi Arabia,2026,2026-08-30,2026-09-02,trade_show,construction,yes,upcoming_confirmed,primary_b2b,Official 2026 directory states 30 Aug-2 Sep 2026 at Riyadh Front Exhibition & Conference Center and shows 535 exhibitor rows.,https://www.big5constructsaudi.com/,https://www.dmgevents.com/,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/,https://exhibitors.exhibitoronlinemanual.com/big-5-construct-saudi-2026/Exhibitor/,https://www.big5constructsaudi.com/exhibit/,,,,,,,A,verified_primary,high,2026-07-20,Official 2026 current exhibitor directory located on Xporience; extract in the parallel current-directory lane.
riyadh-2026-index-saudi,INDEX Saudi Arabia 2026,إندكس السعودية,INDEX Saudi,dmg events,Riyadh Front Exhibition & Conference Center,Riyadh,Saudi Arabia,2026,2026-09-06,2026-09-08,trade_show,interiors_design,yes,upcoming_confirmed,primary_b2b,Official 2026 exhibitor-list page exists but says full list will be revealed soon.,https://www.index-saudi.com/,https://www.dmgevents.com/,,https://www.index-saudi.com/2026-exhibitor-list/,https://www.index-saudi.com/exhibit/,,,,,,,A,verified_primary,high,2026-07-18,"Exhibitor page exists, but no current company list yet; do not count as current directory."
riyadh-2026-saudi-warehousing-logistics,Saudi Warehousing & Logistics Expo 2026,معرض التخزين والخدمات اللوجستية السعودي,Saudi Logistics Expo,dmg events,Riyadh Front Exhibition & Conference Center,Riyadh,Saudi Arabia,2026,2026-08-30,2026-09-01,trade_show,logistics_supply_chain,yes,upcoming_confirmed,primary_b2b,Official site states 350+ exhibiting companies and logistics/supply-chain product categories.,https://www.saudilogisticsexpo.com/,https://www.dmgevents.com/,,,https://www.saudilogisticsexpo.com/exhibit/,,,,,,350+ exhibiting companies,A,verified_cross_source,high,2026-07-18,Date conflict exists: some official snippets say 8-10 Sep while venue/calendar pages say 30 Aug-1 Sep; flagged for follow-up.
riyadh-2026-saudi-event-show,The Saudi Event Show 2026,معرض الفعاليات السعودي,Saudi Event Show; SES,Informa Connect,The Arena Riyadh Venue for Exhibitions,Riyadh,Saudi Arabia,2026,2026-09-09,2026-09-10,trade_show,events_mice_production,yes,upcoming_confirmed,primary_b2b,Official page and public social profiles state 100+ exhibitors/suppliers for the events industry.,https://informaconnect.com/saudi-event-show/,https://informaconnect.com/,,,https://informaconnect.com/saudi-event-show/sponsors-exhibitors/,https://informaconnect.com/saudi-event-show/,,,,,Official 100+ exhibitors/suppliers; 10Times 76 past-edition exhibitors,A,verified_cross_source,high,2026-07-20,Official 2026 page lists sponsor/partner placements but no named current exhibitor directory; 10Times states current-edition exhibitors are unavailable and is historical/discovery only.
riyadh-2026-money2020-middle-east,Money20/20 Middle East 2026,موني 20/20 الشرق الأوسط,Money 20/20 ME,Tahaluf,"Riyadh Exhibition and Convention Center, Malham",Riyadh,Saudi Arabia,2026,2026-09-14,2026-09-16,trade_show,fintech,yes,upcoming_confirmed,primary_b2b,Official ticket and exhibit/sponsor pages state access to exhibition floor and exhibitor/sponsor sales.,https://money2020middleeast.com/,https://tahaluf.com/,,,https://money2020middleeast.com/form/2026-exhibitor-and-sponsor,https://money2020middleeast.com/sponsors-partners,,,,,450 brands; sponsors/partners listed,A,verified_primary,high,2026-07-18,Sponsor/partner page exists; no exhibitor directory found. Not mixed with exhibitor confirmation.
riyadh-2026-hotel-hospitality-expo,Hotel & Hospitality Expo Saudi Arabia 2026,معرض الفنادق والضيافة السعودي,The Hotel Show Saudi Arabia,dmg events,Riyadh International Convention & Exhibition Center,Riyadh,Saudi Arabia,2026,2026-09-15,2026-09-17,trade_show,hospitality,yes,upcoming_confirmed,primary_b2b,Official 2026 page identifies the trade event and has an exhibitor logo strip; 10Times list is past-edition only.,https://www.thehotelshowsaudiarabia.com/,https://www.dmgevents.com/,,https://www.thehotelshowsaudiarabia.com/,https://www.thehotelshowsaudiarabia.com/exhibit/,,,,,,Official 2026 logo strip; 10Times 146 past-edition exhibitors,A,verified_primary,medium,2026-07-20,Official 2026 page has an exhibitor logo strip but no structured directory; 10Times states current-edition exhibitors are unavailable and is historical/discovery only.
