raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
1,Al Abrar Law Firm for Legal Consultancy and Notarization,1-534,,,,Saudi Arabia,,,Al Abrar Law Firm for Legal Consultancy and Notarization,,https://saudi-build.com/exhibitors-list/
2,Al Janoub Electricity Trading Company,3-300,,Interior Design & Finishing,"Welcome to South Electricity Lighting Company, where we pride ourselves on being experts in the world of lighting since 1408 AH. We specialize in four well-known brands across the Kingdom, all certified by the Saudi Standards, Metrology and Quality Organization (SASO): ""hummer,"" ""Toefl,"" ""tutto,"" and ""Omaha."" We are also an authorized distributor for Philips. Our goal is to always provide our customers with a distinctive shopping experience, offering all their lighting and electrical needs with the highest quality.",Saudi Arabia,janoubco.com,http://janoubco.com/,Al Janoub Electricity Trading Company,"Lighting Solutions & Fixtures, Sanitary Ware",https://saudi-build.com/exhibitors-list/
3,Al Jawdah Metal,H1-108,,,,Saudi Arabia,,,,,https://saudi-build.com/exhibitors-list/
4,Al Jazirah Falcon Company,2-210,,"Construction Technologies & Services, Construction & Building Materials, Special & Offsite Construction","Al Jazirah Falcon Company specializes in cooling, air conditioning, and home appliances of all types. The company owns five factories and operates more than fifteen showrooms across the Kingdom of Saudi Arabia. It is structured into three main sectors, each distinguished by its area of specialization. The Industrial Sector is responsible for the manufacturing of the company’s products, such as cooling and air conditioning systems. This sector encompasses factories, production lines, technology, research and development (R&D), and quality assurance. The Commercial Sector is dedicated to all business and commercial operations, including the sale of products under our own brands as well as authorized agencies. It covers marketing, sales, product distribution, management of the dealer network, and the strengthening of commercial relationships with customers and partners. The Contracting Sector focuses on mechanical, electrical, and plumbing (MEP) projects, in addition to facility management and after-sales services, providing comprehensive and reliable technical solutions tailored to client needs.",Saudi Arabia,jzfalcon.com,http://jzfalcon.com/,Al Jazirah Falcon Company,"Building Automation & Smart Buildings, Construction Consultancy, Green Building Technologies, Construction Systems & Technologies, Swimming Pools & Accessories, Prefabricated Construction & Components",https://saudi-build.com/exhibitors-list/
5,Al Koblan Thermopipe Factory Company,2-101,,Interior Design & Finishing,"Al-KOBLAN PIPES Thermal Pipe Factory KTP was established by Al-KOBLAN PIPES KTP Manufacturing Group. This group seeks to develop its products to suit both hot and cold water and thus produce a healthy and pure water network. Our group: Al-KOBLAN PIPES Factory Company, KTB, believes that the strength of its organization stems from the competence and diversity of experience of its employees. Al-Kabalan Heat Pipe Group supports multiple projects for different foreign companies by developing innovative solutions for these facilities. Al-Kabalan Group hopes to continue to excel through the efforts of its employees, who are doing their best by using technology to design high-quality products.",Saudi Arabia,alkoblan.com.sa,https://alkoblan.com.sa/,Al Koblan Thermopipe Factory Company,Bathroom & Plumbing Products,https://saudi-build.com/exhibitors-list/
6,Al Mahajer Company for Marble & Stone,1-435,,Interior Design & Finishing,,Saudi Arabia,,,Al Mahajer Company for Marble & Stone,"Specializing in high-quality marble, stone, wood, and decorative unit solutions",https://saudi-build.com/exhibitors-list/
7,Al Manar Pipe Company for Industry,1-409,,Construction & Building Materials,"Al Manar Pipes Factory Company is a leading manufacturer of high-quality uPVC, HDPE, and PPR pipes and fittings. Committed to advancing infrastructure development both in the Kingdom of Saudi Arabia and globally, we meet the evolving demands of the construction, industrial, and infrastructure sectors. Carrying our brand MANARCO, our product range includes uPVC Pipes and Fittings for potable water systems, irrigation, drainage, and electrical applications, HDPE Pipes and Fittings which are perfect for water, gas, telecommunications, and industrial applications, and PPR Pipes and Fittings for both hot and cold-water systems. Our products are approved and certified by leading entities in Saudi Arabia, including SASO, NWC, NEOM, Red Sea Global, STC, Dawiyat, and MODON. These certifications reflect our unwavering commitment to maintaining the highest standards of quality, safety, and compliance in every product we manufacture.",Saudi Arabia,www.almanarplastic.com,http://www.almanarplastic.com,Al Manar Pipe Company for Industry,Construction Systems & Technologies,https://saudi-build.com/exhibitors-list/
8,Al Rayyan Building Insulation Industry for Company,1-433,,,,Saudi Arabia,gwalls.sa,http://gwalls.sa/,Al Rayyan Building Insulation Industry for Company,,https://saudi-build.com/exhibitors-list/
9,"Al Samah Teehoo Co., Ltd.",4-600,,"Interior Design & Finishing, Wood & Production Technologies, Construction & Building Materials, Aluminum Doors Facades Glass & Windows","Al Samah Teehoo is joint venture between AL SAMAH technical factory co. for industry in Saudi Arabia and Foshan TEEHOO stainless steel in China, located in Riyadh - Sulay district, specializes in one-stop solution of decorative stainless steel, from raw materials sheets processing, fabrications as cutting, grooving, bending, laser, welding, and polishing, to PVD (Physical Vapor Deposition), Nano anti-finger print and Antique finish, enjoying high convenience of service, transportation and communication. Extended from 40+ years successful experience as a stainless-steel pioneer from AL SAMAH, and 20+ years PVD innovator of decorative stainless steel from TEEHOO, we’re proud to contribute to “SAUDI 2030 VISION” as Quality, Service and Efficiency First, by firm relationship with our strategic partners coming from construction, decoration, design, kitchen, elevator, furniture industries etc. This comes from educating the market, leading the trend beyond expectation. And we’re willing to work hand in hand with valuable clients to contribute to SAUDI 2030 and share success with everyone.",Saudi Arabia,www.samah-teehoo.com,http://www.samah-teehoo.com/,"Al Samah Teehoo Co., Ltd.","Architectural Finishing Products, Bathroom & Plumbing Products, Flooring, Ceiling & Wall Finishes, Doors & Windows, Steel & Timber Products, Facade Systems",https://saudi-build.com/exhibitors-list/
10,Al Sarif Company Building Materials,1-825,,Construction & Building Materials,"AlSarif Building Materials was established in 1979 as part of AlSarif Group. In 1985, due to the increasing demand for concrete products, especially the infrastructure products in Kingdom, the company started commercial production and marketing throughout the whole Kingdom.",Saudi Arabia,https://scbm.sa,https://scbm.sa/,Al Sarif Company Building Materials,"Cement & Gypsum Products, Landscaping & Garden Services",https://saudi-build.com/exhibitors-list/
