raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
1,RAK Porcelain,,,hospitality,,,,,RAK Porcelain,public LinkedIn event post says exhibiting at 2026; also visible in official 2026 exhibitor logos,https://www.linkedin.com/posts/hhexposaudi_hhexposaudi-hospitalityindustry-tableware-activity-7462051863907983362-nixw
2,UNOX,,,hospitality,,,,,UNOX,company exhibition calendar lists Hotel & Hospitality Expo 2026 Riyadh,https://www.unox.com/en_gb/discover-unox/where-to-find-us/exhibitions/
3,Breehant,,,hospitality,,,,,Breehant,public LinkedIn event post says exhibiting at CoffeeHost 2026,https://www.linkedin.com/posts/hhexposaudi_hhexposaudi-coffeehost2026-specialtycoffee-activity-7459908693858349057-1hXD
4,Oztiryakiler / OZTI,,,hospitality,,,,,Oztiryakiler / OZTI,official homepage 2026 exhibitor logo only,https://www.thehotelshowsaudiarabia.com/
5,Roasting House,,,hospitality,,,,,Roasting House,official industry dialogue plus 2026 exhibitor logo,https://www.thehotelshowsaudiarabia.com/industry-dialogue-with-osamah-mohamed-ali-alawwam/
6,Port Stores Company LTD,,,hospitality,,,,,Port Stores Company LTD,official marketplace exhibitor tag plus current logo; historical page gives details,https://indexandhotelsaudiarabia.com/exhibitor/port-stores-company-ltd
7,Steelite International,,,hospitality,,,,,Steelite International,official homepage 2026 exhibitor logo only,https://www.thehotelshowsaudiarabia.com/
8,Arriyadh Roaster,,,hospitality,,,,,Arriyadh Roaster,official homepage 2026 exhibitor logo only,https://www.thehotelshowsaudiarabia.com/
9,Bed Boss,,,hospitality,,,,,Bed Boss,official homepage 2026 exhibitor logo only,https://www.thehotelshowsaudiarabia.com/
10,Barn's,,,hospitality,,,,,Barn's,2026 advisory-board company plus homepage logo; exhibitor status from logo only,https://www.thehotelshowsaudiarabia.com/features/advisory-board/
11,HORECA Way,,,hospitality,,,,,HORECA Way,event LinkedIn welcomes as media partner; not a booth exhibitor,https://www.linkedin.com/company/hhexposaudi?eid=24263
12,Eye of Riyadh,,,hospitality,,,,,Eye of Riyadh,official media partner page; not a booth exhibitor,https://www.thehotelshowsaudiarabia.com/eye-of-riyadh-5/
13,BNC Network,,,hospitality,,,,,BNC Network,official project intelligence partner on event homepage; not a booth exhibitor,https://www.thehotelshowsaudiarabia.com/
14,Rua Al Madinah,,,hospitality,,,,,Rua Al Madinah,2026 advisory-board company represented; not exhibitor confirmed,https://www.thehotelshowsaudiarabia.com/features/advisory-board/
15,JLL,,,hospitality,,,,,JLL,2026 advisory-board company represented; not exhibitor confirmed,https://www.thehotelshowsaudiarabia.com/features/advisory-board/
16,Knight Frank,,,hospitality,,,,,Knight Frank,2026 advisory-board company represented; not exhibitor confirmed,https://www.thehotelshowsaudiarabia.com/features/advisory-board/
17,Diriyah Company,,,hospitality,,,,,Diriyah Company,2026 advisory-board company represented; not exhibitor confirmed,https://www.thehotelshowsaudiarabia.com/features/advisory-board/
